Codi;PORIND
0801910133;62
0801910134;74
0801910135;85
0801910137;45
0801910138;51
0801910139;58
0801910140;114
0801910142;65
0801910143;48
0801910144;103
0801910145;92
0801910146;74
0801910147;74
0801910149;88
0801910150;93
0801910151;80
0801910152;150
0801910154;102
0801910155;164
0801910156;104
0801910158;62
0801910160;114
0801910161;125
0801910163;165
0801910164;152
0801910165;108
0801910166;86
0801910168;86
0801910170;60
0801910172;76
0801910173;159
0801910174;147
0801910175;87
0801910176;165
0801910177;36
0801910178;84
0801910180;95
0801910182;35
0801910183;223
0801910184;105
0801910185;111
0801910186;41
0801910187;68
0801910189;49
0801910190;79
0801910191;85
0801910192;143
0801910194;188
0801910195;218
0801910197;93
0801910198;87
0801910199;107
0801910200;92
0801910201;62
0801910202;213
0801910203;58
0801910204;65
0801910205;45
0801910206;169
0801910207;155
0801910208;99
0801910209;103
0801910210;88
0801910211;148
0801910212;140
0801910213;140
0801910214;98
0801910215;89
0801910217;103
0801910218;62
0801910220;87
0801910221;64
0801910222;77
0801910223;198
0801910224;156
0801910225;176
0801910226;109
0801910227;82
0801910229;69
0801910230;201
0801910231;99
0801910232;82
0801910233;43
0802001001;362
0802001002;126
0802301001;872
0802701001;76
0802901001;196
0802901002;124
0803001001;178
0803001002;164
0803201001;166
0803301001;185
0803301002;471
0803301003;115
0803302001;305
0803303001;322
0803303002;162
0803303003;401
0803303004;326
0803501001;120
0803501002;96
0803501003;149
0803502001;64
0803502002;190
0803503001;230
0803503002;235
0803503003;306
0803901001;25
0804001001;304
0804001002;255
0804001003;414
0804001004;496
0804101001;336
0804101002;452
0804101003;416
0804101004;206
0804101005;294
0804101006;463
0804101007;341
0804101008;292
0804201001;360
0804301001;357
0804601001;141
0804601002;149
0804601003;163
0804602001;321
0804602002;183
0804602003;216
0804602004;288
0804603001;354
0805101001;171
0805101002;238
0805101003;188
0805101004;299
0805101005;251
0805101006;257
0805101007;477
0805101008;390
0805101009;274
0805101010;229
0805101011;79
0805401001;571
0805401002;512
0805401003;579
0805401004;227
0805501001;71
0805601001;157
0805601002;177
0805601003;208
0805601004;271
0805601005;287
0805601006;338
0805601007;175
0805602001;194
0805602002;182
0805602003;178
0805602004;212
0805602005;113
0805602006;169
0805603001;152
0805603002;145
0805603003;430
0805603004;136
0805603005;70
0805604001;200
0805604002;137
0805604003;164
0805604004;180
0805605001;186
0805605002;165
0805605003;169
0805605004;189
0805801001;83
0805801002;152
0806401001;331
0806501001;263
0806601001;149
0806801001;296
0806801002;209
0806801003;73
0806801004;327
0806901001;343
0807201001;337
0807201002;189
0807201003;161
0807201004;171
0807201005;162
0807201006;159
0807301001;182
0807301002;271
0807301003;239
0807301004;286
0807301005;177
0807301006;67
0807301007;152
0807301008;247
0807301009;113
0807301010;167
0807301011;196
0807301012;158
0807301013;204
0807301014;149
0807302001;341
0807302002;357
0807303001;188
0807303002;134
0807303003;145
0807303004;404
0807303005;154
0807303006;104
0807303007;158
0807303008;129
0807303009;178
0807304001;235
0807304002;97
0807304003;256
0807304004;124
0807304005;145
0807304006;262
0807304007;127
0807304008;230
0807304009;158
0807304010;162
0807304011;155
0807304012;156
0807304013;250
0807304014;184
0807304015;155
0807304016;225
0807304017;271
0807304018;125
0807304019;117
0807305001;140
0807305002;135
0807305003;159
0807305004;146
0807305005;124
0807305006;171
0807305007;182
0807305008;171
0807305009;111
0807305010;173
0807306001;130
0807306002;165
0807306003;87
0807306004;104
0807306005;107
0807306006;109
0807306007;177
0807306008;129
0807306009;406
0807306010;146
0807306011;79
0807306012;173
0807306013;100
0807306014;166
0807306015;160
0807306016;128
0807401001;96
0807401002;251
0807401003;138
0807401004;158
0807401005;300
0807501001;264
0807501002;260
0807601001;498
0807601002;380
0807601003;247
0807601004;333
0807601005;126
0807601006;302
0807602001;435
0807602002;446
0807602003;405
0807602004;263
0807701001;79
0807701002;111
0807701003;185
0807701004;163
0807701005;212
0807702001;130
0807702002;178
0807702003;306
0807702004;210
0807702005;203
0807702006;179
0807703001;170
0807703002;320
0807704001;38
